herb,Mol.ID,Molecule.Name,MW,AlogP,Hdon,Hacc,OB...,Caco.2,BBB,DL,FASA.,HL,Save,Number of Meridians,group
bai_qian,MOL000116,Nonanal,142.27,3.222,0,1,40.27634015,1.30729,1.50223,0.015196,17.06999969,6.35457,fyp_cg_Molecule57.mol2,single Meridian,Lung
bai_qian,MOL012929,glaucoside C,795.03,1.345,3,15,38.76680413,-0.9539,-2.02159,0.071448,179.2899933,13.639533,zw_bq_Molecule64.mol2,single Meridian,Lung
bai_qian,MOL012930,glaucoside B,438.47,-0.088,0,10,11.29978031,-0.3361,-0.65888,0.64527,134.8000031,NA,zw_bq_Molecule65.mol2,single Meridian,Lung
bai_qian,MOL012931,Glaucoside H,957.19,-0.402,6,20,17.51620422,-2.26641,-3.4279,0.024946,258.4400024,NA,zw_bq_Molecule69.mol2,single Meridian,Lung
bai_qian,MOL012932,glaucoside H_qt,376.49,0.805,2,6,12.75733618,-0.4007,-1.09636,0.83995,85.22000122,NA,zw_bq_Molecule69_qt.mol2,single Meridian,Lung
bai_qian,MOL012933,Tylophorinidine,365.46,3.153,2,5,30.48245912,0.59465,-0.20016,0.81795,62.15999985,3.216798,zw_bq_Molecule70.mol2,single Meridian,Lung
bai_qian,MOL001314,Azelex,188.25,1.871,2,4,16.90012824,-0.04264,-0.71685,0.041301,74.59999847,NA,hc_sl_Molecule9.mol2,single Meridian,Lung
bai_qian,MOL001394,Oktadekan,254.56,8.583,0,0,9.806386361,1.8317,1.8291,0.090617,NA,NA,hc_xhh_Molecule35.mol2,single Meridian,Lung
bai_qian,MOL001399,TWT,310.68,10.408,0,0,8.365694483,1.84833,1.63859,0.17997,NA,NA,hc_xhh_Molecule47.mol2,single Meridian,Lung
bai_qian,MOL001747,Tetracosane,338.74,11.32,0,0,8.284074578,1.87807,1.61741,0.23973,NA,NA,lbh_blg_Molecule125.mol2,single Meridian,Lung
bai_qian,MOL000193,(Z)-caryophyllene,204.39,4.753,0,0,30.29074814,1.82425,2.15315,0.089886,NA,7.997357,fyp_cz_Molecule98.mol2,single Meridian,Lung
bai_qian,MOL002124,beta-asarone,208.28,2.735,0,3,35.61229809,1.45357,1.23583,0.06065,27.69000053,4.462142,lbh_cx_Molecule136.mol2,single Meridian,Lung
bai_qian,MOL002376,PENTACOSANE,352.77,11.777,0,0,8.249355127,1.89549,1.84953,0.27262,NA,NA,lbh_fxy_Molecule39.mol2,single Meridian,Lung
bai_qian,MOL003537,T-Muurolol,222.41,3.779,1,1,30.41445229,1.35689,1.43915,0.093121,20.22999954,7.111451,lbh_rg_Molecule73.mol2,single Meridian,Lung
bai_qian,MOL000357,Sitogluside,576.95,6.337,4,6,20.63193686,-0.1362,-0.9283,0.6241,99.37999725,NA,fyp_hjs_Molecule461.mol2,single Meridian,Lung
bai_qian,MOL000358,beta-sitosterol,414.79,8.084,1,1,36.91390583,1.32463,0.98588,0.75123,20.22999954,5.355491,fyp_hjs_Molecule461_qt.mol2,single Meridian,Lung
bai_qian,MOL000359,sitosterol,414.79,8.084,1,1,36.91390583,1.32059,0.87298,0.7512,20.22999954,5.371091,fyp_hjs_Molecule463.mol2,single Meridian,Lung
bai_qian,MOL002003,(-)-Caryophyllene oxide,220.39,3.519,0,1,32.67006511,1.57777,1.76492,0.12925,12.52999973,6.50957,lbh_cby_Molecule10.mol2,single Meridian,Lung
bai_qian,MOL000610,TRD,184.41,6.302,0,0,17.89122181,1.78399,1.9576,0.031021,NA,NA,fyp_pl_Molecule247.mol2,single Meridian,Lung
bai_qian,MOL000069,palmitic acid,256.48,6.368,1,2,19.2965647,1.09151,0.99862,0.098573,37.29999924,NA,fyp_bz_Molecule59.mol2,single Meridian,Lung
bai_qian,MOL006919,"glaucogenin,a",376.49,0.805,2,6,43.74314457,-0.23349,-1.02038,0.83991,85.22000122,5.967898,lxx_bw_Molecule1063.mol2,single Meridian,Lung
bai_qian,MOL000865,hexadecane,226.5,7.671,0,0,12.31600907,1.80766,1.85198,0.060928,NA,NA,hc_cwz_Molecule12.mol2,single Meridian,Lung
bai_qian,MOL000867,Heptadekan,240.53,8.127,0,0,8.642472374,1.83578,1.86559,0.074658,NA,NA,hc_cwz_Molecule14.mol2,single Meridian,Lung
bai_qian,MOL000868,LFA,282.62,9.496,0,0,8.4605189,1.834,1.80067,0.12999,NA,NA,hc_cwz_Molecule15.mol2,single Meridian,Lung
bai_qian,MOL000869,Henicosane,296.65,9.952,0,0,8.412905294,1.83706,1.80072,0.15364,NA,NA,hc_cwz_Molecule16.mol2,single Meridian,Lung
bai_qian,MOL000879,methyl palmitate,270.51,6.619,0,2,18.08756063,1.36631,1.18158,0.11594,26.29999924,NA,hc_cwz_Molecule31.mol2,single Meridian,Lung
bai_qian,MOL000880,Tricosane,324.71,10.864,0,0,8.3304795,1.84718,1.6799,0.2088,NA,NA,hc_cwz_Molecule32.mol2,single Meridian,Lung
bai_qian,MOL000886,tetradecane,198.44,6.758,0,0,15.94226412,1.78783,1.78297,0.039319,NA,NA,hc_cwz_Molecule9.mol2,single Meridian,Lung
bai_bu,MOL000103,PHB,138.13,1.167,2,3,30.14879786,0.38611,0.20501,0.026675,57.52999878,11.7743,fyp_cg_Molecule42.mol2,single Meridian,Lung
bai_bu,MOL000114,vanillic acid,168.16,1.151,2,4,35.47235319,0.43417,0.09082,0.040917,66.76000214,11.622444,fyp_cg_Molecule55.mol2,single Meridian,Lung
bai_bu,MOL001456,citric acid,192.14,-1.395,4,7,56.2198911,-1.10696,-1.37769,0.047066,132.1300049,11.4554,hcx_bqc_Molecule11.mol2,single Meridian,Lung
bai_bu,MOL001558,sesamin,354.38,2.237,0,6,56.5470561,0.75096,-0.08256,0.82722,55.38000107,13.436225,lbh_bb_Molecule105.mol2,single Meridian,Lung
bai_bu,MOL001807,Cedar acid,198.19,1.134,2,5,47.77712363,0.49657,0.09666,0.058239,75.98999786,11.095676,lbh_blg_Molecule42.mol2,single Meridian,Lung
bai_bu,MOL001859,FMT,46.03,-0.277,1,2,33.25523338,0.2073,0.52967,0.00063312,37.29999924,12.6762,lbh_bm_Molecule23.mol2,single Meridian,Lung
bai_bu,MOL001880,OXL,90.04,-0.48,2,4,29.67836693,-0.64165,-0.87119,0.0071888,74.59999847,NA,lbh_bmg_Molecule29.mol2,single Meridian,Lung
bai_bu,MOL000219,BOX,121.12,0.757,0,2,31.54641411,0.53658,0.8403,0.020166,40.13000107,12.0707,fyp_dgt_Molecule44.mol2,single Meridian,Lung
bai_bu,MOL001955,Heriguard,354.34,-0.416,6,9,11.93273511,-1.03385,-1.71492,0.32642,164.75,NA,lbh_bss_Molecule7.mol2,single Meridian,Lung
bai_bu,MOL002299,DMR,134.1,-0.955,3,5,68.62462749,-1.0944,-1.69985,0.017758,94.83000183,11.5585,lbh_dh_Molecule78.mol2,single Meridian,Lung
bai_bu,MOL000346,succinic acid,118.1,-0.41,2,4,29.62033732,-0.44496,-0.70993,0.012082,74.59999847,NA,fyp_hjs_Molecule445.mol2,single Meridian,Lung
bai_bu,MOL000357,Sitogluside,576.95,6.337,4,6,20.63193686,-0.1362,-0.9283,0.6241,99.37999725,NA,fyp_hjs_Molecule461.mol2,single Meridian,Lung
bai_bu,MOL000358,beta-sitosterol,414.79,8.084,1,1,36.91390583,1.32463,0.98588,0.75123,20.22999954,5.355491,fyp_hjs_Molecule461_qt.mol2,single Meridian,Lung
bai_bu,MOL000359,sitosterol,414.79,8.084,1,1,36.91390583,1.32059,0.87298,0.7512,20.22999954,5.371091,fyp_hjs_Molecule463.mol2,single Meridian,Lung
bai_bu,MOL000392,formononetin,268.28,2.583,1,4,69.67388061,0.78264,0.02378,0.21202,59.66999817,17.036852,fyp_hq_Molecule214_qt.mol2,single Meridian,Lung
bai_bu,MOL004217,Micheline B,275.27,2.877,0,4,14.82552222,0.92191,0.3369,0.52931,48.41999817,NA,lbh_yhs_Molecule50.mol2,single Meridian,Lung
bai_bu,MOL004480,acetic acid,60.06,-0.23,1,2,47.86521346,0.41751,0.72176,0.0016949,37.29999924,12.2064,lbh_zl_Molecule36.mol2,single Meridian,Lung
bai_bu,MOL000449,Stigmasterol,412.77,7.64,1,1,43.82985158,1.44458,1.00045,0.75665,20.22999954,5.574595,fyp_htp_Molecule484.mol2,single Meridian,Lung
bai_bu,MOL005315,(R)-()-Citronellal,154.28,3.019,0,1,50.77851548,1.37432,1.60853,0.020405,17.06999969,5.351406,lh_rs_Molecule2380.mol2,single Meridian,Lung
bai_bu,MOL005360,malkangunin,432.56,1.835,2,7,57.71384384,0.21673,-0.17138,0.62642,102.2900009,4.092061,lh_rs_Molecule2451.mol2,single Meridian,Lung
bai_bu,MOL005384,suchilactone,368.41,3.731,0,6,57.51882425,0.82023,0.27669,0.55573,63.22000122,9.034548,lh_rs_Molecule2489.mol2,single Meridian,Lung
bai_bu,MOL005612,"3,4-DIMETHOXYPHENOL",154.18,1.53,1,3,73.35842525,0.99618,0.86383,0.031556,38.68999863,11.8286,lh_xcq_Molecule1246.mol2,single Meridian,Lung
bai_bu,MOL000635,vanillin,152.16,1.306,1,3,51.99600777,0.6778,0.41159,0.032596,46.52999878,11.793384,fyp_qg_Molecule533.mol2,single Meridian,Lung
bai_bu,MOL006985,Stephanine,309.39,3.352,0,4,27.45364414,1.14863,0.76639,0.63906,30.93000031,NA,lxx_byz_Molecule223.mol2,single Meridian,Lung
bai_bu,MOL009360,12-Oxoarundoin,454.81,7.038,0,2,16.4282007,1.26541,0.97356,0.76152,26.29999924,NA,wy_bb_Molecule.mol2,single Meridian,Lung
bai_bu,MOL009361,"13,15-Dideoxyaconitine",613.82,0.344,1,10,34.67049163,0.20001,-0.3119,0.2496,112.9899979,20.740562,wy_bb_Molecule1.mol2,single Meridian,Lung
bai_bu,MOL009362,4&#39;-methylpinosylvin,226.29,3.768,2,2,58.91827186,1.27449,0.85201,0.10376,40.45999908,6.085132,wy_bb_Molecule10.mol2,single Meridian,Lung
bai_bu,MOL009363,tuberostemonine C,375.56,3.604,0,5,55.3401077,0.67517,0.45332,0.73904,55.84000015,11.167778,wy_bb_Molecule100.mol2,single Meridian,Lung
bai_bu,MOL009364,tuberostemonine,375.56,3.604,0,5,16.25473898,0.6511,0.09559,0.73891,55.84000015,NA,wy_bb_Molecule101.mol2,single Meridian,Lung
bai_bu,MOL009365,tuberostemonine H,389.59,3.809,0,5,9.977804722,0.56568,0.00096,0.76341,55.84000015,NA,wy_bb_Molecule102.mol2,single Meridian,Lung
bai_bu,MOL009366,tuberostemonine J,389.59,3.809,0,5,10.02951657,0.4971,0.13305,0.76347,55.84000015,NA,wy_bb_Molecule103.mol2,single Meridian,Lung
bai_bu,MOL009367,tuberostemonine K,389.59,3.809,0,5,16.72514917,0.67068,0.22924,0.76349,55.84000015,NA,wy_bb_Molecule104.mol2,single Meridian,Lung
bai_bu,MOL009368,tuberostemonine N,389.59,3.809,0,5,15.90962708,0.68728,0.23879,0.76355,55.84000015,NA,wy_bb_Molecule105.mol2,single Meridian,Lung
bai_bu,MOL009369,tuberostemoninol,389.54,2.473,1,6,17.13325979,0.28462,-0.23843,0.76781,76.06999969,NA,wy_bb_Molecule106.mol2,single Meridian,Lung
bai_bu,MOL009370,tuberostemonone,405.54,2.171,0,7,14.78087009,-0.09067,-0.51047,0.64889,89.98000336,NA,wy_bb_Molecule107.mol2,single Meridian,Lung
bai_bu,MOL009371,tuberostemospironine,253.33,0.392,1,5,63.79990029,0.03933,-0.31861,0.15049,66.83999634,-0.105207,wy_bb_Molecule108.mol2,single Meridian,Lung
bai_bu,MOL009372,Tubocurarine,609.8,6.805,2,7,1.857145798,0.74967,0.07615,0.1083,80.62000275,NA,wy_bb_Molecule109.mol2,single Meridian,Lung
bai_bu,MOL009373,6-hydroxycroomine,337.46,1.818,1,6,13.07163763,0.0733,-0.05665,0.36644,76.06999969,NA,wy_bb_Molecule11.mol2,single Meridian,Lung
bai_bu,MOL009374,"7-methoxy-3-methyl-2,5-dihydroxy-9,10-dihydrophenanthrene",256.32,3.884,2,3,58.99836821,1.11986,0.48563,0.20599,49.68999863,-0.41924,wy_bb_Molecule12.mol2,single Meridian,Lung
bai_bu,MOL009375,9alpha-O-methylstemoenonine,431.53,2.641,0,8,16.95391494,0.00933,-0.52282,0.8073,91.37000275,NA,wy_bb_Molecule13.mol2,single Meridian,Lung
bai_bu,MOL009376,bisdehydroneostemonine,315.4,2.007,0,4,24.04030648,1.16916,0.89452,0.3744,53.59999847,NA,wy_bb_Molecule17.mol2,single Meridian,Lung
